millis,node,x,y,rssi,distance,target_x,target_y
3808,7,12.5,25,-66.9511,16.2195,9.1337,9.1337
3808,3,25,0,-68.534,18.3075,9.1337,9.1337
3808,6,0,25,-68.534,18.3075,9.1337,9.1337
3808,8,25,25,-71.1807,22.4383,9.1337,9.1337
3908,4,12.5,12.5,-51.2965,4.88566,9.04531,9.04531
3908,2,12.5,0,-60.2427,9.68259,9.04531,9.04531
3908,5,0,12.5,-60.2427,9.68259,9.04531,9.04531
3908,1,0,0,-63.8761,12.792,9.04531,9.04531
3908,7,12.5,25,-67.0351,16.3244,9.04531,9.04531
3908,3,25,0,-68.5573,18.3404,9.04531,9.04531
3908,6,0,25,-68.5573,18.3404,9.04531,9.04531
3908,8,25,25,-71.2531,22.5633,9.04531,9.04531
4008,4,12.5,12.5,-51.6264,5.01066,8.95693,8.95693
4008,2,12.5,0,-60.1746,9.63223,8.95693,8.95693
4008,5,0,12.5,-60.1746,9.63223,8.95693,8.95693
4008,1,0,0,-63.7482,12.667,8.95693,8.95693
4008,7,12.5,25,-67.1189,16.4297,8.95693,8.95693
4008,3,25,0,-68.5812,18.3741,8.95693,8.95693
4008,6,0,25,-68.5812,18.3741,8.95693,8.95693
4008,8,25,25,-71.3251,22.6883,8.95693,8.95693
4108,4,12.5,12.5,-51.9481,5.13566,8.86854,8.86854
4108,2,12.5,0,-60.108,9.58324,8.86854,8.86854
4108,5,0,12.5,-60.108,9.58324,8.86854,8.86854
4108,1,0,0,-63.6191,12.542,8.86854,8.86854
4108,7,12.5,25,-67.2023,16.5352,8.86854,8.86854
4108,3,25,0,-68.6056,18.4086,8.86854,8.86854
4108,6,0,25,-68.6056,18.4086,8.86854,8.86854
4108,8,25,25,-71.3967,22.8133,8.86854,8.86854
4208,4,12.5,12.5,-52.262,5.26066,8.78015,8.78015
4208,2,12.5,0,-60.043,9.53563,8.78015,8.78015
4208,5,0,12.5,-60.043,9.53563,8.78015,8.78015
4208,1,0,0,-63.4887,12.417,8.78015,8.78015
4208,7,12.5,25,-67.2854,16.6409,8.78015,8.78015
4208,3,25,0,-68.6305,18.4438,8.78015,8.78015
4208,6,0,25,-68.6305,18.4438,8.78015,8.78015
4208,8,25,25,-71.4679,22.9383,8.78015,8.78015
4308,4,12.5,12.5,-52.5686,5.38566,8.69176,8.69176
4308,2,12.5,0,-59.9796,9.48944,8.69176,8.69176
4308,5,0,12.5,-59.9796,9.48944,8.69176,8.69176
4308,1,0,0,-63.357,12.292,8.69176,8.69176
4308,7,12.5,25,-67.3682,16.747,8.69176,8.69176
4308,3,25,0,-68.6559,18.4799,8.69176,8.69176
4308,6,0,25,-68.6559,18.4799,8.69176,8.69176
4308,8,25,25,-71.5388,23.0633,8.69176,8.69176
4408,4,12.5,12.5,-52.8681,5.51066,8.60337,8.60337
4408,2,12.5,0,-59.9179,9.44467,8.60337,8.60337
4408,5,0,12.5,-59.9179,9.44467,8.60337,8.60337
4408,1,0,0,-63.224,12.167,8.60337,8.60337
4408,7,12.5,25,-67.4507,16.8533,8.60337,8.60337
4408,3,25,0,-68.6818,18.5167,8.60337,8.60337
4408,6,0,25,-68.6818,18.5167,8.60337,8.60337
4408,8,25,25,-71.6092,23.1883,8.60337,8.60337
4508,4,12.5,12.5,-53.1609,5.63566,8.51498,8.51498
4508,2,12.5,0,-59.8578,9.40135,8.51498,8.51498
4508,5,0,12.5,-59.8578,9.40135,8.51498,8.51498
4508,1,0,0,-63.0895,12.042,8.51498,8.51498
4508,7,12.5,25,-67.5328,16.9598,8.51498,8.51498
4508,3,25,0,-68.7082,18.5543,8.51498,8.51498
4508,6,0,25,-68.7082,18.5543,8.51498,8.51498
4508,8,25,25,-71.6793,23.3133,8.51498,8.51498
4608,4,12.5,12.5,-53.4473,5.76066,8.4266,8.4266
4608,2,12.5,0,-59.7995,9.35949,8.4266,8.4266
4608,5,0,12.5,-59.7995,9.35949,8.4266,8.4266
4608,1,0,0,-62.9537,11.917,8.4266,8.4266
4608,7,12.5,25,-67.6146,17.0666,8.4266,8.4266
4608,3,25,0,-68.735,18.5926,8.4266,8.4266
4608,6,0,25,-68.735,18.5926,8.4266,8.4266
4608,8,25,25,-71.749,23.4383,8.4266,8.4266
4708,4,12.5,12.5,-53.7275,5.88566,8.33821,8.33821
4708,2,12.5,0,-59.7431,9.31913,8.33821,8.33821
4708,5,0,12.5,-59.7431,9.31913,8.33821,8.33821
4708,1,0,0,-62.8164,11.792,8.33821,8.33821
4708,7,12.5,25,-67.6961,17.1737,8.33821,8.33821
4708,3,25,0,-68.7623,18.6317,8.33821,8.33821
4708,6,0,25,-68.7623,18.6317,8.33821,8.33821
4708,8,25,25,-71.8183,23.5633,8.33821,8.33821
4808,4,12.5,12.5,-54.0018,6.01066,8.24982,8.24982
4808,2,12.5,0,-59.6885,9.28028,8.24982,8.24982
4808,5,0,12.5,-59.6885,9.28028,8.24982,8.24982
4808,1,0,0,-62.6777,11.667,8.24982,8.24982
4808,7,12.5,25,-67.7773,17.281,8.24982,8.24982
4808,3,25,0,-68.7902,18.6716,8.24982,8.24982
4808,6,0,25,-68.7902,18.6716,8.24982,8.24982
4808,8,25,25,-71.8873,23.6883,8.24982,8.24982
4908,4,12.5,12.5,-54.2704,6.13566,8.16143,8.16143
4908,2,12.5,0,-59.6358,9.24295,8.16143,8.16143
4908,5,0,12.5,-59.6358,9.24295,8.16143,8.16143
4908,1,0,0,-62.5375,11.542,8.16143,8.16143
4908,7,12.5,25,-67.8581,17.3885,8.16143,8.16143
4908,3,25,0,-68.8184,18.7122,8.16143,8.16143
4908,6,0,25,-68.8184,18.7122,8.16143,8.16143
4908,8,25,25,-71.9559,23.8133,8.16143,8.16143
5008,4,12.5,12.5,-54.5336,6.26066,8.07304,8.07304
5008,2,12.5,0,-59.5851,9.20717,8.07304,8.07304
5008,5,0,12.5,-59.5851,9.20717,8.07304,8.07304
5008,1,0,0,-62.3958,11.417,8.07304,8.07304
5008,7,12.5,25,-67.9387,17.4963,8.07304,8.07304
5008,3,25,0,-68.8472,18.7536,8.07304,8.07304
5008,6,0,25,-68.8472,18.7536,8.07304,8.07304
5008,8,25,25,-72.0241,23.9383,8.07304,8.07304
5108,4,12.5,12.5,-54.7916,6.38566,7.98465,7.98465
5108,2,12.5,0,-59.5364,9.17295,7.98465,7.98465
5108,5,0,12.5,-59.5364,9.17295,7.98465,7.98465
5108,1,0,0,-62.2525,11.292,7.98465,7.98465
5108,7,12.5,25,-68.0189,17.6043,7.98465,7.98465
5108,3,25,0,-68.8763,18.7957,7.98465,7.98465
5108,6,0,25,-68.8763,18.7957,7.98465,7.98465
5108,8,25,25,-72.092,24.0633,7.98465,7.98465
5208,4,12.5,12.5,-55.0446,6.51066,7.89627,7.89627
5208,2,12.5,0,-59.4898,9.14032,7.89627,7.89627
5208,5,0,12.5,-59.4898,9.14032,7.89627,7.89627
5208,1,0,0,-62.1076,11.167,7.89627,7.89627
5208,7,12.5,25,-68.0987,17.7125,7.89627,7.89627
5208,3,25,0,-68.906,18.8385,7.89627,7.89627
5208,6,0,25,-68.906,18.8385,7.89627,7.89627
5208,8,25,25,-72.1596,24.1883,7.89627,7.89627
5308,4,12.5,12.5,-55.2928,6.63566,7.80788,7.80788
5308,2,12.5,0,-59.4453,9.10928,7.80788,7.80788
5308,5,0,12.5,-59.4453,9.10928,7.80788,7.80788
5308,1,0,0,-61.961,11.042,7.80788,7.80788
5308,7,12.5,25,-68.1783,17.8209,7.80788,7.80788
5308,3,25,0,-68.936,18.8821,7.80788,7.80788
